Participant_ID,Presentation_Order,Song_File,Original_Participant,File_Path,Duration_Seconds,Randomization_Seed
1,1,4-1_proc.wav,4,music_stim/preprocesed/4/4-1_proc.wav,198.135875,2959848976
1,2,3-3_proc.wav,3,music_stim/preprocesed/3/3-3_proc.wav,253.28327083333335,2959848976
1,3,5-3_proc.wav,5,music_stim/preprocesed/5/5-3_proc.wav,232.338875,2959848976
1,4,1-2_proc.wav,1,music_stim/preprocesed/1/1-2_proc.wav,252.42414583333334,2959848976
1,5,4-2_proc.wav,4,music_stim/preprocesed/4/4-2_proc.wav,301.0699375,2959848976
1,6,5-2_proc.wav,5,music_stim/preprocesed/5/5-2_proc.wav,228.94877083333333,2959848976
1,7,2-1_proc.wav,2,music_stim/preprocesed/2/2-1_proc.wav,0.008708333333333334,2959848976
1,8,2-2_proc.wav,2,music_stim/preprocesed/2/2-2_proc.wav,397.3166458333333,2959848976
1,9,5-1_proc.wav,5,music_stim/preprocesed/5/5-1_proc.wav,237.07575,2959848976
1,10,2-3_proc.wav,2,music_stim/preprocesed/2/2-3_proc.wav,363.472125,2959848976
1,11,1-3_proc.wav,1,music_stim/preprocesed/1/1-3_proc.wav,243.22904166666666,2959848976
1,12,3-1_proc.wav,3,music_stim/preprocesed/3/3-1_proc.wav,229.13452083333334,2959848976
1,13,3-2_proc.wav,3,music_stim/preprocesed/3/3-2_proc.wav,227.09116666666668,2959848976
1,14,1-1_proc.wav,1,music_stim/preprocesed/1/1-1_proc.wav,379.25152083333336,2959848976
1,15,4-3_proc.wav,4,music_stim/preprocesed/4/4-3_proc.wav,217.4084375,2959848976
2,1,4-1_proc.wav,4,music_stim/preprocesed/4/4-1_proc.wav,198.135875,2604580632
2,2,3-3_proc.wav,3,music_stim/preprocesed/3/3-3_proc.wav,253.28327083333335,2604580632
2,3,1-2_proc.wav,1,music_stim/preprocesed/1/1-2_proc.wav,252.42414583333334,2604580632
2,4,4-2_proc.wav,4,music_stim/preprocesed/4/4-2_proc.wav,301.0699375,2604580632
2,5,5-1_proc.wav,5,music_stim/preprocesed/5/5-1_proc.wav,237.07575,2604580632
2,6,2-2_proc.wav,2,music_stim/preprocesed/2/2-2_proc.wav,397.3166458333333,2604580632
2,7,4-3_proc.wav,4,music_stim/preprocesed/4/4-3_proc.wav,217.4084375,2604580632
2,8,3-2_proc.wav,3,music_stim/preprocesed/3/3-2_proc.wav,227.09116666666668,2604580632
2,9,5-2_proc.wav,5,music_stim/preprocesed/5/5-2_proc.wav,228.94877083333333,2604580632
2,10,2-3_proc.wav,2,music_stim/preprocesed/2/2-3_proc.wav,363.472125,2604580632
2,11,3-1_proc.wav,3,music_stim/preprocesed/3/3-1_proc.wav,229.13452083333334,2604580632
2,12,1-1_proc.wav,1,music_stim/preprocesed/1/1-1_proc.wav,379.25152083333336,2604580632
2,13,5-3_proc.wav,5,music_stim/preprocesed/5/5-3_proc.wav,232.338875,2604580632
2,14,2-1_proc.wav,2,music_stim/preprocesed/2/2-1_proc.wav,0.008708333333333334,2604580632
2,15,1-3_proc.wav,1,music_stim/preprocesed/1/1-3_proc.wav,243.22904166666666,2604580632
3,1,1-1_proc.wav,1,music_stim/preprocesed/1/1-1_proc.wav,379.25152083333336,2933272670
3,2,2-3_proc.wav,2,music_stim/preprocesed/2/2-3_proc.wav,363.472125,2933272670
3,3,1-2_proc.wav,1,music_stim/preprocesed/1/1-2_proc.wav,252.42414583333334,2933272670
